title,Distributor,Genre,release_date,budget,Domestic Sales (in $),International Sales (in $),Domestic Sales (as % of total Revenue),International Sales (as % of total Revenue),Revenue,Profit/Loss,vote_average
Avatar,Twentieth Century Fox,"Action, Adventure, Fantasy, Sci-Fi",2009-12-10,237000000.0,760507625,2086738578,26.71%,73.29%,2847246203,2610246203.0,7.2
Titanic,Paramount Pictures,"Drama, Romance",1997-11-18,200000000.0,659363944,1542283320,29.95%,70.05%,2201647264,2001647264.0,7.5
Jurassic World,Universal Pictures,"Action, Adventure, Sci-Fi",2015-06-09,150000000.0,652385625,1018130819,39.05%,60.95%,1670516444,1520516444.0,6.5
The Avengers,Walt Disney Studios Motion Pictures,"Action, Adventure, Sci-Fi",2012-04-25,220000000.0,623357910,895457605,41.04%,58.96%,1518815515,1298815515.0,7.4
The Lion King,Walt Disney Studios Motion Pictures,"Adventure, Animation, Drama, Family, Musical",1994-06-23,45000000.0,543638043,1119261396,32.69%,67.31%,1662899439,1617899439.0,8.0
The Dark Knight,Warner Bros.,"Action, Crime, Drama, Thriller",2008-07-16,185000000.0,534858444,471115201,53.17%,46.83%,1005973645,820973645.0,8.2
Star Wars: Episode I - The Phantom Menace,Twentieth Century Fox,"Action, Adventure, Fantasy, Sci-Fi",1999-05-19,115000000.0,474544677,552538030,46.20%,53.80%,1027082707,912082707.0,6.3
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,"Action, Adventure, Sci-Fi",2015-04-22,280000000.0,459005868,943803672,32.72%,67.28%,1402809540,1122809540.0,7.3
The Dark Knight Rises,Warner Bros.,"Action, Crime, Drama",2012-07-16,250000000.0,448139099,633003513,41.45%,58.55%,1081142612,831142612.0,7.6
Shrek 2,DreamWorks Distribution,"Adventure, Animation, Comedy, Family, Fantasy, Romance",2004-05-19,150000000.0,441226247,487534523,47.51%,52.49%,928760770,778760770.0,6.7
E.T. the Extra-Terrestrial,Universal Pictures,"Adventure, Family, Sci-Fi",1982-04-03,10500000.0,435110554,304203888,58.85%,41.15%,739314442,728814442.0,7.3
The Hunger Games: Catching Fire,Lionsgate,"Action, Adventure, Drama, Sci-Fi, Thriller",2013-11-15,130000000.0,424668047,440343699,49.09%,50.91%,865011746,735011746.0,7.4
Pirates of the Caribbean: Dead Man's Chest,Walt Disney Studios Motion Pictures,"Action, Adventure, Fantasy",2006-06-20,200000000.0,423315812,642863935,39.70%,60.30%,1066179747,866179747.0,7.0
The Lion King,Walt Disney Studios Motion Pictures,"Adventure, Animation, Drama, Family, Musical",1994-06-23,45000000.0,422783777,640828028,39.75%,60.25%,1063611805,1018611805.0,8.0
Toy Story 3,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",2010-06-16,200000000.0,415004880,651965931,38.90%,61.10%,1066970811,866970811.0,7.6
Iron Man 3,Walt Disney Studios Motion Pictures,"Action, Adventure, Sci-Fi",2013-04-18,200000000.0,409013994,805797258,33.67%,66.33%,1214811252,1014811252.0,6.8
Captain America: Civil War,Walt Disney Studios Motion Pictures,"Action, Adventure, Sci-Fi",2016-04-27,250000000.0,408084349,745253147,35.38%,64.62%,1153337496,903337496.0,7.1
The Hunger Games,Lionsgate,"Action, Adventure, Sci-Fi, Thriller",2012-03-12,75000000.0,408010692,286384032,58.76%,41.24%,694394724,619394724.0,6.9
Spider-Man,Sony Pictures Entertainment (SPE),"Action, Adventure, Sci-Fi",2002-05-01,139000000.0,407022860,418002176,49.33%,50.67%,825025036,686025036.0,6.8
Jurassic Park,Universal Pictures,"Action, Adventure, Sci-Fi, Thriller",1993-06-11,63000000.0,404214720,629713583,39.10%,60.90%,1033928303,970928303.0,7.6
Transformers: Revenge of the Fallen,DreamWorks,"Action, Adventure, Sci-Fi",2009-06-19,150000000.0,402111870,434191823,48.08%,51.92%,836303693,686303693.0,6.0
Frozen,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical",2013-11-27,150000000.0,400953009,880555091,31.29%,68.71%,1281508100,1131508100.0,7.3
Finding Nemo,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family",2003-05-30,94000000.0,380843261,559509384,40.50%,59.50%,940352645,846352645.0,7.6
Star Wars: Episode III - Revenge of the Sith,Twentieth Century Fox,"Action, Adventure, Fantasy, Sci-Fi",2005-05-17,113000000.0,380270577,488119983,43.79%,56.21%,868390560,755390560.0,7.1
The Lord of the Rings: The Return of the King,New Line Cinema,"Action, Adventure, Drama, Fantasy",2003-12-01,94000000.0,377845905,768185007,32.97%,67.03%,1146030912,1052030912.0,8.1
Spider-Man 2,Sony Pictures Entertainment (SPE),"Action, Adventure, Sci-Fi",2004-06-25,200000000.0,373585825,415390628,47.35%,52.65%,788976453,588976453.0,6.7
The Passion of the Christ,Newmarket Films,Drama,2004-02-25,30000000.0,370782930,241271576,60.58%,39.42%,612054506,582054506.0,6.9
The Secret Life of Pets,Universal Pictures,"Adventure, Animation, Comedy, Family",2016-06-18,75000000.0,368384330,507074301,42.08%,57.92%,875458631,800458631.0,5.9
Despicable Me 2,Universal Pictures,"Adventure, Animation, Comedy, Crime, Family, Sci-Fi",2013-06-25,76000000.0,368065385,602700620,37.91%,62.09%,970766005,894766005.0,7.0
The Jungle Book,Walt Disney Studios Motion Pictures,"Adventure, Drama, Family, Fantasy",2016-04-07,175000000.0,364001123,602553806,37.66%,62.34%,966554929,791554929.0,6.7
Deadpool,Twentieth Century Fox,"Action, Adventure, Comedy, Sci-Fi",2016-02-09,58000000.0,363070709,419766082,46.38%,53.62%,782836791,724836791.0,7.4
Inside Out,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Drama, Family, Fantasy, Sci-Fi",2015-06-09,175000000.0,356921711,501926308,41.56%,58.44%,858848019,683848019.0,8.0
Aladdin,Walt Disney Studios Motion Pictures,"Adventure, Comedy, Family, Fantasy, Musical, Romance",1992-11-25,28000000.0,355559216,695134737,33.84%,66.16%,1050693953,1022693953.0,7.4
Furious 7,Universal Pictures,"Action, Thriller",2015-04-01,190000000.0,353007020,1162334379,23.30%,76.70%,1515341399,1325341399.0,7.3
Transformers: Dark of the Moon,DreamWorks,"Action, Adventure, Sci-Fi",2011-06-28,195000000.0,352390543,771403536,31.36%,68.64%,1123794079,928794079.0,6.1
American Sniper,Warner Bros.,"Action, Biography, Drama, War",2014-12-11,58800000.0,350126372,197300000,63.96%,36.04%,547426372,488626372.0,7.4
The Lord of the Rings: The Two Towers,New Line Cinema,"Action, Adventure, Drama, Fantasy",2002-12-18,79000000.0,342551365,604943730,36.15%,63.85%,947495095,868495095.0,8.0
